Time,X_id,X_position,Fork_num,HumanDecidedDirection,RobotDecidedDirection,DecidedDirection,ErrP
1044.624,20,"[25.708256401835566, -7.850949823388147, 4.848597733157996]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
1080.596,21,"[18.236122586864273, -7.904790860057392, 3.0910916557558936]",3,"[1, 0, 0, 0]","[0, 0, 0, 1]","[1, 0, 0, 0]",0
1102.4350000000002,22,"[14.388649466751964, -7.756808044464982, 3.179752287471517]",4,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
1124.8200000000002,23,"[13.935181105892767, -3.7745401807271057, 1.6622424308078791]",4,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
1156.8970000000002,23,"[13.935181105892767, -3.7745401807271057, 1.6622424308078791]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
1179.303,24,"[13.858805314095154, 0.0485032304895272, 2.485738116217183]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
1214.335,24,"[13.858805314095154, 0.0485032304895272, 2.485738116217183]",3,"[1, 0, 0, 0]","[0, 0, 0, 1]","[1, 0, 0, 0]",0
1245.308,24,"[13.858805314095154, 0.0485032304895272, 2.485738116217183]",3,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
1265.8960000000002,23,"[13.935181105892767, -3.7745401807271057, 1.6622424308078791]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
1296.8980000000001,23,"[13.935181105892767, -3.7745401807271057, 1.6622424308078791]",4,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 1, 0]",0
1318.4930000000002,22,"[14.388649466751964, -7.756808044464982, 3.179752287471517]",4,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]",0
