2024-10-25 15:28:57.832 [info] Starting Python Locator /root/.vscode/extensions/ms-python.python-2024.16.1-linux-x64/python-env-tools/bin/pet server
2024-10-25 15:28:58.366 [info] Discovered env: /bin/python
2024-10-25 15:28:58.371 [info] Discovered env: /usr/bin/python
2024-10-25 15:28:58.374 [info] Discovered env: /bin/python3
2024-10-25 15:28:58.375 [info] Discovered env: /usr/bin/python3
2024-10-25 15:28:58.402 [info] Locator Conda took 167.54919ms
2024-10-25 15:28:58.402 [info] Locator Homebrew took 42.128µs
2024-10-25 15:28:58.402 [info] Locator LinuxGlobal took 197.102122ms
2024-10-25 15:28:58.402 [info] Locator PipEnv took 294.9µs
2024-10-25 15:28:58.402 [info] Locator Poetry took 923.24µs
2024-10-25 15:28:58.402 [info] Locator PyEnv took 3.590051ms
2024-10-25 15:28:58.403 [info] Locator Venv took 22.604µs
2024-10-25 15:28:58.403 [info] Locator VirtualEnv took 10.953µs
2024-10-25 15:28:58.403 [info] Locator VirtualEnvWrapper took 121.707µs
2024-10-25 15:28:58.403 [info] Locator GlobalVirtualEnvs took 139.684µs
2024-10-25 15:28:58.404 [info] Locator Locators took 199.86624ms
2024-10-25 15:28:58.406 [info] Locator Path took 345.741101ms
2024-10-25 15:28:58.407 [info] Locator Workspaces took 2.803623ms
2024-10-25 15:28:58.407 [info] Refresh completed in 345ms
